,시도,행정구역,평균,최대,최소,표준편차,표준편차 보정값,최대 - 최소,평균 * 표준편차 보정값,,
1,강원,강릉시,0.333264167,5.0734312,-6.1452514,3.368985491,0.052216416,11.2186826,0.01740186,,
2,강원,고성군,5.561704311,26.0869565,-13.6842105,11.0173228,0.241466295,39.771167,1.342964136,,
3,강원,동해시,2.7230002,16.2939297,-4.2410714,4.795053967,0.087502946,20.5350011,0.23827054,,평균 : 해당 시군의 2013년부터의 4세대비 초등 1학년 변동률 평균값
4,강원,삼척시,-5.180188122,5.2631579,-13.7440758,5.065031426,0.094183248,19.0072337,-0.487886944,,"표준편차 : 해당 시군의 2013년 부터의 4세대비 초등 1학년 변동률 표준편차, 이 값이 클수록 값의 변동이 큼"
5,강원,속초시,-2.073974015,8.719346,-9.97151,4.530956196,0.080968131,18.690856,-0.1679258,,최대 : 해당 시군의 4세대비 초등 1학년 변동률 최대값
6,강원,양구군,-8.542333911,8.1632653,-32.3529412,8.220986809,0.172273969,40.5162065,-1.471621769,,최소 : 해당 시군의 4세대비 초등 1학년 변동률 최소값
7,강원,양양군,-2.854965026,25,-20.2531646,12.49709643,0.278081702,45.2531646,-0.793913533,,"표준편차 보정값 : 표준편차를 리스케일링하여 최소값을 0으로 최대값을 1로 보정한 값, 변동률 안정 지수로 사용할 수 있을 것임"
8,강원,영월군,-2.410335604,12.295082,-15.3846154,6.353638849,0.126068453,27.6796974,-0.30386728,,최대 - 최소 : 최대값에서 최소값을 뺀 최대 변동폭
9,강원,원주시,2.523410704,7.9582518,-2.3038605,2.47746309,0.030156653,10.2621123,0.076097621,,"평균 * 표준편차 보정값 : 평균에 표준편차 보정값을 곱한것, 사실 값이 안정적이라면 이 값이 0에 가까워야 할 것임. "
10,강원,인제군,-9.317332789,2.7210884,-25.1851852,6.028365138,0.118019905,27.9062736,-1.099630727,,
11,강원,정선군,-1.065760444,15.3846154,-13.6363636,8.468775015,0.178405222,29.020979,-0.190137229,,
12,강원,철원군,-6.734453811,1.4423077,-16.3157895,4.80107637,0.087651964,17.7580972,-0.590288105,,
13,강원,춘천시,0.222683822,4.9781659,-5.9649123,2.337795141,0.02670072,10.9430782,0.005945818,,
14,강원,태백시,-4.573918441,6.25,-13.3971292,3.923203393,0.065929942,19.6471292,-0.301558177,,
15,강원,평창군,-3.455820956,12.173913,-14.0740741,7.143349914,0.145609003,26.2479871,-0.503198646,,
16,강원,홍천군,-5.957226926,3.3962264,-24.137931,6.421732752,0.127753363,27.5341574,-0.761055774,,
17,강원,화천군,-15.09571975,0.8,-27.8195489,7.09146249,0.144325105,28.6195489,-2.178691338,,
18,강원,횡성군,-1.403495711,11.8644068,-17.6470588,6.418578148,0.127675306,29.5114656,-0.179191744,,
19,경기,가평군,-1.499899663,13.1707317,-12.3529412,5.858442489,0.113815351,25.5236729,-0.170711607,,
20,경기,고양시,-2.315667078,5.2455357,-5.7590558,2.748584722,0.036865266,11.0045915,-0.085367684,,
21,경기,과천시,-3.535990222,50.2262443,-27.7602524,22.02820718,0.513918785,77.9864967,-1.817211798,,
22,경기,광명시,-8.160337874,-4.6177527,-13.4242265,2.173013086,0.022623365,8.8064738,-0.184614305,,
23,경기,광주시,-5.921108407,0.4758668,-12.8479657,3.738954021,0.061370889,13.3238325,-0.363383688,,
24,경기,구리시,-7.8863978,13.4308511,-19.0839695,7.451333908,0.153229736,32.5148206,-1.208430654,,
25,경기,군포시,-8.374206744,-1.1154856,-14.1016949,3.100989399,0.045585141,12.9862093,-0.381739395,,
26,경기,김포시,13.79743042,29.0540541,3.1890661,7.570324698,0.156174035,25.864988,2.154800384,,
27,경기,남양주시,-1.191486763,3.305539,-6.0279871,3.154261863,0.046903311,9.3335261,-0.055884674,,
28,경기,동두천시,-5.815079156,1.8672199,-10.8527132,2.793556396,0.037978042,12.7199331,-0.220845321,,
29,경기,부천시,-7.084389137,-2.9705719,-11.626265,2.192086552,0.023095318,8.6556931,-0.163616218,,
30,경기,성남시,-6.779811337,-3.2575758,-9.8356808,1.696237254,0.01082606,6.578105,-0.073398646,,
31,경기,수원시,-1.133643689,5.9018202,-7.3827581,4.310816264,0.075521005,13.2845783,-0.085613911,,
32,경기,시흥시,6.987535881,29.2129162,-6.3938619,12.05668911,0.267184297,35.6067781,1.86695986,,
33,경기,안산시,-4.205433963,4.0469446,-8.7809585,3.849913012,0.06411645,12.8279031,-0.269637497,,
34,경기,안성시,-3.201950567,6.4903846,-11.4837398,4.118272707,0.070756722,17.9741244,-0.226559527,,
