시도,행정구역,평균
세종,세종시,0.5088594425699492
대구,중구,0.34905190297117916
인천,중구,0.19588953131045198
부산,강서구,0.14919575790124764
경남,함양군,0.13962228995564724
경기,김포시,0.13726568243418263
인천,연수구,0.13726132632884436
광주,남구,0.13621188434515355
충북,진천군,0.13517931238643963
경기,하남시,0.13014510254471193
충남,홍성군,0.10272363197410916
부산,중구,0.10016969011064353
인천,동구,0.08741557191485579
전남,나주시,0.07932279834938585
경기,화성시,0.07352094431553774
부산,기장군,0.0721498952075672
경기,시흥시,0.07075310618337642
전남,목포시,0.062473882009725264
강원,고성군,0.058755577805682
대구,수성구,0.05795601927698741
서울,중구,0.05183479045208837
전남,순천시,0.0513712146734476
인천,강화군,0.048283330198316106
경남,진주시,0.039853160458795604
제주,제주시,0.03984277886816921
충북,청주시,0.037462962277995455
경기,평택시,0.03618267496614146
강원,원주시,0.03037128507276268
강원,동해시,0.02803791038508896
전북,전주시,0.02735770810447723
경남,양산시,0.025776353458695007
광주,광산구,0.023982666135074195
서울,도봉구,0.023598002214252834
부산,동래구,0.023352614345663034
경기,양평군,0.023307492455756206
충남,논산시,0.02279574705170604
울산,울주군,0.017720012293658327
부산,금정구,0.01683689109252512
대구,달서구,0.015912894493664478
충남,천안시,0.01532449827732974
경북,포항시,0.013538447868029935
충북,괴산군,0.010348526958115604
경남,거창군,0.009840284483409826
강원,강릉시,0.00917286802926331
대구,달성군,0.008898042366202523
경기,양주시,0.008217348608130092
충북,충주시,0.0064028718358346065
경북,영주시,0.006181572426966439
강원,춘천시,0.005286410134581735
제주,서귀포시,0.004420525345279623
전북,김제시,0.0043773044128792744
경북,안동시,0.0035279339792230807
울산,북구,-0.00033343450720063503
충북,보은군,-0.0010292921736386512
충남,예산군,-0.0022970368737886457
경기,파주시,-0.003019817673442138
대전,유성구,-0.0032565384065509654
서울,양천구,-0.003463907977745513
충남,태안군,-0.0037086105559393525
전북,남원시,-0.003933536792521369
경남,김해시,-0.004159348747629601
경남,밀양시,-0.006513302651958553
부산,연제구,-0.008232630585163854
인천,서구,-0.008539915962848633
경기,가평군,-0.009865015519672456
강원,정선군,-0.010888115472815969
서울,노원구,-0.011332295825485663
경기,남양주시,-0.013173796330860577
경기,수원시,-0.013307136412474576
전북,정읍시,-0.013537090329852878
충남,서산시,-0.01391463390005539
광주,서구,-0.014309258214728528
경북,경주시,-0.014612014447927958
강원,횡성군,-0.016649605273785062
경기,용인시,-0.01706476040632195
울산,중구,-0.017077680278355784
경북,상주시,-0.01746440838118447
충북,옥천군,-0.018772061121673494
경북,구미시,-0.019016423155856124
경기,이천시,-0.01918101135248669
경남,함안군,-0.01921302504212328
부산,부산진구,-0.019429136455384317
경기,고양시,-0.020941747925741713
강원,영월군,-0.022513269122629423
광주,북구,-0.022865599875486226
충북,제천시,-0.02297055677058268
전남,장흥군,-0.022987123119014245
강원,속초시,-0.023292008422861075
서울,서대문구,-0.024362888822948403
전북,고창군,-0.024482673547574704
전북,익산시,-0.025223623704542078
대전,서구,-0.025530991971813046
충남,당진시,-0.025714486415202333
전북,군산시,-0.028189469866952182
서울,광진구,-0.029819002856667477
경기,오산시,-0.030960982253100355
충남,보령시,-0.03110609600280228
충남,금산군,-0.03186282809528455
경기,안성시,-0.032220472669187435
경기,과천시,-0.032395215380096286
경기,여주시,-0.03295238522534559
전남,여수시,-0.03372658565655672
강원,평창군,-0.03373530309643498
전남,장성군,-0.03381898222051736
경남,창녕군,-0.03447580051462319
충남,부여군,-0.0362481271400126
경남,통영시,-0.03636282769066051
부산,서구,-0.0367681016813925
전남,구례군,-0.03689592488293452
충남,계룡시,-0.0371325802652069
경남,남해군,-0.03844474180669946
대전,중구,-0.03849192245630825
충북,단양군,-0.03961385871843017
경북,김천시,-0.04048478672161004
강원,양양군,-0.04337457740762864
경기,안산시,-0.04341620840679627
경남,사천시,-0.04399458455014331
경남,거제시,-0.04417360938960281
강원,태백시,-0.04493842618279862
부산,남구,-0.04500238563462093
충남,공주시,-0.045261366609265406
서울,성북구,-0.045888645257060684
부산,해운대구,-0.04596825704429851
경북,문경시,-0.04628264972642695
전남,완도군,-0.04792859972100361
강원,삼척시,-0.04815817429587149
대구,동구,-0.04994208538536195
경기,의정부시,-0.050376934525543246
경기,동두천시,-0.05113397738130906
부산,북구,-0.05215304732725028
전남,광양시,-0.05254848807709424
충남,아산시,-0.05260391807289744
전남,고흥군,-0.052730789558980126
