"","연도","시도","시군구","입학_전체","입학_남","입학_여"
"1","2021","서울","종로구",772,375,397
"2","2021","서울","중구",817,412,405
"3","2021","서울","용산구",1099,561,538
"4","2021","서울","성동구",1886,976,910
"5","2021","서울","광진구",2146,1118,1028
"6","2021","서울","동대문구",2167,1107,1060
"7","2021","서울","중랑구",2215,1127,1088
"8","2021","서울","성북구",3175,1627,1548
"9","2021","서울","강북구",1394,711,683
"10","2021","서울","도봉구",2249,1135,1114
"11","2021","서울","노원구",3751,1925,1826
"12","2021","서울","은평구",3074,1601,1473
"13","2021","서울","서대문구",2225,1098,1127
"14","2021","서울","마포구",2298,1129,1169
"15","2021","서울","양천구",3389,1722,1667
"16","2021","서울","강서구",4005,1959,2046
"17","2021","서울","구로구",2799,1413,1386
"18","2021","서울","금천구",1314,668,646
"19","2021","서울","영등포구",2400,1276,1124
"20","2021","서울","동작구",2525,1309,1216
"21","2021","서울","관악구",2174,1120,1054
"22","2021","서울","서초구",3413,1755,1658
"23","2021","서울","강남구",3618,1890,1728
"24","2021","서울","송파구",5022,2610,2412
"25","2021","서울","강동구",3763,1940,1823
"26","2021","부산","중구",218,114,104
"27","2021","부산","서구",604,308,296
"28","2021","부산","동구",385,196,189
"29","2021","부산","영도구",532,273,259
"30","2021","부산","부산진구",2579,1306,1273
"31","2021","부산","동래구",2081,1091,990
"32","2021","부산","남구",1922,993,929
"33","2021","부산","북구",2001,1020,981
"34","2021","부산","해운대구",3026,1575,1451
"35","2021","부산","사하구",2071,1099,972
"36","2021","부산","금정구",1527,803,724
"37","2021","부산","강서구",2176,1118,1058
"38","2021","부산","연제구",1550,778,772
"39","2021","부산","수영구",1015,522,493
"40","2021","부산","사상구",1177,594,583
"41","2021","부산","기장군",2259,1163,1096
"42","2021","대구","중구",759,383,376
"43","2021","대구","동구",2785,1409,1376
"44","2021","대구","서구",802,416,386
"45","2021","대구","남구",655,334,321
"46","2021","대구","북구",3551,1806,1745
"47","2021","대구","수성구",3365,1726,1639
"48","2021","대구","달서구",4632,2361,2271
"49","2021","대구","달성군",3094,1565,1529
"50","2021","인천","중구",1424,700,724
"51","2021","인천","동구",568,313,255
"52","2021","인천","연수구",4277,2213,2064
"53","2021","인천","미추홀구",2689,1359,1330
"54","2021","인천","남동구",4469,2291,2178
"55","2021","인천","부평구",3668,1876,1792
"56","2021","인천","계양구",2101,1071,1030
"57","2021","인천","서구",5154,2665,2489
"58","2021","인천","강화군",340,180,160
"59","2021","인천","옹진군",75,36,39
"60","2021","광주","동구",622,333,289
"61","2021","광주","서구",2359,1215,1144
"62","2021","광주","남구",2223,1107,1116
"63","2021","광주","북구",3694,1889,1805
"64","2021","광주","광산구",5298,2728,2570
"65","2021","대전","동구",1660,873,787
"66","2021","대전","중구",1656,823,833
"67","2021","대전","서구",4042,2094,1948
"68","2021","대전","유성구",3770,1951,1819
"69","2021","대전","대덕구",1216,656,560
"70","2021","울산","중구",1851,937,914
"71","2021","울산","남구",2587,1339,1248
"72","2021","울산","동구",1762,899,863
"73","2021","울산","북구",2747,1415,1332
"74","2021","울산","울주군",2010,1043,967
"75","2021","세종","세종시",5091,2646,2445
"76","2021","경기","수원시",10595,5465,5130
"77","2021","경기","성남시",7207,3657,3550
"78","2021","경기","부천시",6286,3208,3078
"79","2021","경기","안양시",4228,2167,2061
"80","2021","경기","과천시",646,332,314
"81","2021","경기","안산시",5081,2574,2507
"82","2021","경기","용인시",11029,5609,5420
"83","2021","경기","군포시",2188,1133,1055
"84","2021","경기","의왕시",1245,660,585
"85","2021","경기","시흥시",5492,2799,2693
"86","2021","경기","평택시",5350,2742,2608
"87","2021","경기","화성시",11358,5694,5664
"88","2021","경기","오산시",2682,1336,1346
"89","2021","경기","광명시",2529,1288,1241
"90","2021","경기","광주시",3745,1926,1819
"91","2021","경기","하남시",3362,1718,1644
"92","2021","경기","김포시",6219,3119,3100
"93","2021","경기","이천시",2032,1089,943
"94","2021","경기","안성시",1552,777,775
"95","2021","경기","여주시",763,395,368
"96","2021","경기","양평군",791,422,369
"97","2021","경기","고양시",8557,4393,4164
"98","2021","경기","남양주시",7065,3610,3455
"99","2021","경기","구리시",1553,813,740
"100","2021","경기","의정부시",3573,1825,1748
"101","2021","경기","파주시",4941,2514,2427
"102","2021","경기","동두천시",726,399,327
"103","2021","경기","양주시",2219,1154,1065
"104","2021","경기","포천시",878,428,450
"105","2021","경기","가평군",330,180,150
"106","2021","경기","연천군",261,129,132
"107","2021","강원","춘천시",2327,1205,1122
"108","2021","강원","원주시",2931,1485,1446
"109","2021","강원","강릉시",1401,713,688
"110","2021","강원","동해시",745,383,362
"111","2021","강원","태백시",289,153,136
"112","2021","강원","속초시",624,321,303
"113","2021","강원","삼척시",380,199,181
"114","2021","강원","홍천군",337,159,178
"115","2021","강원","횡성군",225,112,113
"116","2021","강원","영월군",180,104,76
"117","2021","강원","평창군",178,77,101
"118","2021","강원","정선군",214,110,104
"119","2021","강원","철원군",351,183,168
"120","2021","강원","화천군",175,102,73
"121","2021","강원","양구군",155,86,69
"122","2021","강원","인제군",221,111,110
"123","2021","강원","고성군",164,84,80
"124","2021","강원","양양군",142,68,74
"125","2021","충북","청주시",7946,4023,3923
"126","2021","충북","충주시",1530,759,771
"127","2021","충북","제천시",956,480,476
"128","2021","충북","보은군",148,77,71
"129","2021","충북","옥천군",299,147,152
"130","2021","충북","영동군",227,107,120
"131","2021","충북","진천군",866,454,412
"132","2021","충북","괴산군",166,86,80
"133","2021","충북","음성군",634,332,302
"134","2021","충북","단양군",118,66,52
"135","2021","충북","증평군",332,146,186
"136","2021","충남","천안시",6685,3417,3268
"137","2021","충남","공주시",609,330,279
