"","시도","시군구","입학_전체_2021","입학_전체_2020","입학_전체_2019","입학_전체_2018","입학_전체_2017","입학_남_2021","입학_남_2020","입학_남_2019","입학_남_2018","입학_남_2017","입학_여_2021","입학_여_2020","입학_여_2019","입학_여_2018","입학_여_2017"
"1","서울","종로구",772,764,5463,5507,5561,375,381,2790,2844,2864,397,383,2673,2663,2697
"2","서울","중구",817,901,5181,5226,5283,412,455,2544,2557,2613,405,446,2637,2669,2670
"3","서울","용산구",1099,1087,7273,7460,7624,561,548,3726,3833,3906,538,539,3547,3627,3718
"4","서울","성동구",1886,1926,11789,11922,12047,976,1002,5950,6068,6150,910,924,5839,5854,5897
"5","서울","광진구",2146,2250,14977,15016,15029,1118,1127,7707,7669,7726,1028,1123,7270,7347,7303
"6","서울","동대문구",2167,2127,13684,13721,13930,1107,1118,7086,7093,7215,1060,1009,6598,6628,6715
"7","서울","중랑구",2215,2377,15176,15336,15419,1127,1219,7764,7847,7906,1088,1158,7412,7489,7513
"8","서울","성북구",3175,3145,21051,21564,21897,1627,1560,10833,11091,11265,1548,1585,10218,10473,10632
"9","서울","강북구",1394,1528,10392,10654,10878,711,806,5285,5434,5540,683,722,5107,5220,5338
"10","서울","도봉구",2249,2247,15561,15962,16242,1135,1148,8011,8250,8381,1114,1099,7550,7712,7861
"11","서울","노원구",3751,3856,26994,27558,28364,1925,1998,13778,14096,14557,1826,1858,13216,13462,13807
"12","서울","은평구",3074,3171,21613,22028,22409,1601,1664,11144,11388,11596,1473,1507,10469,10640,10813
"13","서울","서대문구",2225,2188,12993,13027,13193,1098,1106,6569,6618,6698,1127,1082,6424,6409,6495
"14","서울","마포구",2298,2193,15272,15432,15850,1129,1083,7773,7851,8092,1169,1110,7499,7581,7758
"15","서울","양천구",3389,3518,24414,24481,24526,1722,1822,12643,12664,12695,1667,1696,11771,11817,11831
"16","서울","강서구",4005,4327,27134,26949,26594,1959,2193,13964,13868,13652,2046,2134,13170,13081,12942
"17","서울","구로구",2799,3039,18674,18820,18965,1413,1565,9381,9557,9696,1386,1474,9293,9263,9269
"18","서울","금천구",1314,1345,8880,8883,9030,668,682,4543,4534,4599,646,663,4337,4349,4431
"19","서울","영등포구",2400,2282,13891,13881,13905,1276,1182,7084,7132,7220,1124,1100,6807,6749,6685
"20","서울","동작구",2525,2557,16257,16366,16698,1309,1295,8380,8460,8659,1216,1262,7877,7906,8039
"21","서울","관악구",2174,2310,15246,15768,16227,1120,1143,7838,8130,8325,1054,1167,7408,7638,7902
"22","서울","서초구",3413,3452,23064,23182,22939,1755,1812,11840,11835,11725,1658,1640,11224,11347,11214
"23","서울","강남구",3618,3906,25484,24858,24371,1890,2056,13336,12992,12738,1728,1850,12148,11866,11633
"24","서울","송파구",5022,4982,32208,31368,31191,2610,2553,16516,16179,16040,2412,2429,15692,15189,15151
"25","서울","강동구",3763,3420,19622,19831,20161,1940,1811,10331,10474,10606,1823,1609,9291,9357,9555
"26","부산","중구",218,210,1315,1364,1396,114,115,677,686,703,104,95,638,678,693
"27","부산","서구",604,555,3808,3756,3694,308,315,1940,1910,1854,296,240,1868,1846,1840
"28","부산","동구",385,422,2481,2505,2456,196,224,1272,1278,1239,189,198,1209,1227,1217
"29","부산","영도구",532,585,3948,4051,4086,273,296,2020,2044,2093,259,289,1928,2007,1993
"30","부산","부산진구",2579,2372,15421,15439,15375,1306,1181,7782,7813,7838,1273,1191,7639,7626,7537
"31","부산","동래구",2081,2034,12889,12547,12486,1091,1055,6734,6571,6555,990,979,6155,5976,5931
"32","부산","남구",1922,1994,12911,12330,12130,993,1028,6618,6325,6268,929,966,6293,6005,5862
"33","부산","북구",2001,2027,13103,13114,13403,1020,1022,6760,6786,6967,981,1005,6343,6328,6436
"34","부산","해운대구",3026,3100,20100,20170,20391,1575,1621,10392,10367,10502,1451,1479,9708,9803,9889
"35","부산","사하구",2071,2133,14643,14621,14394,1099,1082,7495,7487,7348,972,1051,7148,7134,7046
"36","부산","금정구",1527,1525,9904,9916,9690,803,762,5145,5178,5121,724,763,4759,4738,4569
"37","부산","강서구",2176,1958,9321,8025,6962,1118,1009,4760,4051,3527,1058,949,4561,3974,3435
"38","부산","연제구",1550,1559,9672,9498,9440,778,760,4980,4939,4906,772,799,4692,4559,4534
"39","부산","수영구",1015,965,6128,6153,6154,522,515,3187,3191,3212,493,450,2941,2962,2942
"40","부산","사상구",1177,1279,8359,8349,8431,594,628,4289,4301,4345,583,651,4070,4048,4086
"41","부산","기장군",2259,2041,11586,10937,10375,1163,1072,5916,5610,5338,1096,969,5670,5327,5037
"42","대구","중구",759,719,4350,4306,4144,383,363,2321,2272,2179,376,356,2029,2034,1965
"43","대구","동구",2785,2726,17437,17150,17060,1409,1360,9037,8888,8862,1376,1366,8400,8262,8198
"44","대구","서구",802,869,5879,6003,6161,416,428,2952,3035,3102,386,441,2927,2968,3059
"45","대구","남구",655,719,4417,4570,4758,334,353,2306,2418,2515,321,366,2111,2152,2243
"46","대구","북구",3551,3461,22719,22867,23118,1806,1756,11689,11779,11982,1745,1705,11030,11088,11136
"47","대구","수성구",3365,3342,23583,23630,23967,1726,1701,12190,12218,12514,1639,1641,11393,11412,11453
"48","대구","달서구",4632,4658,31654,31660,32135,2361,2370,16244,16314,16644,2271,2288,15410,15346,15491
"49","대구","달성군",3094,2883,16083,14974,13365,1565,1482,8249,7684,6893,1529,1401,7834,7290,6472
"50","인천","중구",1424,1388,8201,7528,7346,700,712,4230,3871,3777,724,676,3971,3657,3569
"51","인천","동구",568,541,3770,3898,4015,313,287,1914,2011,2050,255,254,1856,1887,1965
"52","인천","연수구",4277,3950,23208,21898,20803,2213,2010,11931,11283,10682,2064,1940,11277,10615,10121
"53","인천","미추홀구",2689,2818,18165,17945,17540,1359,1453,9414,9262,8982,1330,1365,8751,8683,8558
"54","인천","남동구",4469,4652,30078,30053,29429,2291,2333,15358,15403,15094,2178,2319,14720,14650,14335
"55","인천","부평구",3668,3632,25048,25430,26138,1876,1836,12877,13134,13439,1792,1796,12171,12296,12699
"56","인천","계양구",2101,2091,15339,15952,16403,1071,1092,7840,8120,8385,1030,999,7499,7832,8018
"57","인천","서구",5154,5334,33997,33036,31686,2665,2714,17433,16880,16274,2489,2620,16564,16156,15412
"58","인천","강화군",340,332,2431,2496,2513,180,165,1260,1284,1296,160,167,1171,1212,1217
"59","인천","옹진군",75,97,616,635,597,36,53,306,315,309,39,44,310,320,288
"60","광주","동구",622,569,3227,3211,3165,333,295,1662,1668,1682,289,274,1565,1543,1483
"61","광주","서구",2359,2558,17016,17233,17461,1215,1318,8830,8975,9047,1144,1240,8186,8258,8414
"62","광주","남구",2223,2160,13419,13118,12820,1107,1087,6857,6649,6518,1116,1073,6562,6469,6302
"63","광주","북구",3694,3635,23940,23808,23464,1889,1901,12558,12476,12337,1805,1734,11382,11332,11127
"64","광주","광산구",5298,4610,31388,31252,31279,2728,2333,16159,16074,16054,2570,2277,15229,15178,15225
"65","대전","동구",1660,1641,11381,11558,11794,873,805,5841,5966,6114,787,836,5540,5592,5680
"66","대전","중구",1656,1776,12375,12650,13082,823,909,6383,6498,6706,833,867,5992,6152,6376
"67","대전","서구",4042,4191,26760,26789,26732,2094,2170,13734,13717,13715,1948,2021,13026,13072,13017
"68","대전","유성구",3770,3715,23402,23219,23055,1951,1863,12030,11985,11886,1819,1852,11372,11234,11169
"69","대전","대덕구",1216,1261,8825,9237,9577,656,657,4580,4826,4984,560,604,4245,4411,4593
"70","울산","중구",1851,1924,12405,12371,12074,937,983,6558,6531,6374,914,941,5847,5840,5700
"71","울산","남구",2587,2523,16416,16401,16491,1339,1269,8599,8601,8642,1248,1254,7817,7800,7849
"72","울산","동구",1762,1683,10508,10353,10053,899,870,5462,5415,5283,863,813,5046,4938,4770
"73","울산","북구",2747,2709,15535,14646,13844,1415,1392,7976,7501,7099,1332,1317,7559,7145,6745
"74","울산","울주군",2010,2003,13648,13519,13554,1043,1005,6944,6989,7011,967,998,6704,6530,6543
"75","세종","세종시",5091,4877,27892,24865,20764,2646,2495,14134,12613,10483,2445,2382,13758,12252,10281
"76","경기","수원시",10595,10736,69546,69067,68095,5465,5516,35869,35569,34899,5130,5220,33677,33498,33196
"77","경기","성남시",7207,7248,46942,47386,47213,3657,3696,24230,24342,24211,3550,3552,22712,23044,23002
"78","경기","부천시",6286,6184,41053,41572,40820,3208,3184,20964,21265,20958,3078,3000,20089,20307,19862
"79","경기","안양시",4228,4137,28467,29276,29890,2167,2142,14669,15109,15445,2061,1995,13798,14167,14445
"80","경기","과천시",646,483,2826,2799,2973,332,253,1458,1467,1570,314,230,1368,1332,1403
"81","경기","안산시",5081,5067,34954,35622,36926,2574,2586,17936,18306,18975,2507,2481,17018,17316,17951
"82","경기","용인시",11029,10978,70018,68419,67328,5609,5538,35792,35146,34771,5420,5440,34226,33273,32557
"83","경기","군포시",2188,2337,15126,15530,15850,1133,1192,7833,8057,8215,1055,1145,7293,7473,7635
"84","경기","의왕시",1245,1282,7490,7397,7487,660,603,3894,3862,3920,585,679,3596,3535,3567
"85","경기","시흥시",5492,4951,29619,27185,25140,2799,2539,15170,13894,12774,2693,2412,14449,13291,12366
"86","경기","평택시",5350,5064,30978,29706,28674,2742,2519,15903,15233,14697,2608,2545,15075,14473,13977
"87","경기","화성시",11358,11080,63581,58143,52593,5694,5713,32457,29652,26796,5664,5367,31124,28491,25797
"88","경기","오산시",2682,2683,16571,16320,15696,1336,1377,8551,8384,8125,1346,1306,8020,7936,7571
"89","경기","광명시",2529,2629,18420,19063,19436,1288,1357,9385,9708,9928,1241,1272,9035,9355,9508
"90","경기","광주시",3745,3325,19866,18814,17608,1926,1690,10089,9546,8903,1819,1635,9777,9268,8705
