"","연도","시도","행정구역","학제","date.x","성별","학생수","인구수_2년전_4세","인구수_1년전_5세","4세대비5세변동치","5세대비1학년변동치","4세대비1학년변동치","4세대비5세변동률","5세대비1학년변동률","4세대비1학년변동률"
"1","2021","서울","종로구","초등학교",2021-04-01,"전체",799,865,841,-24,-42,-66,-0.0277456647398844,-0.0499405469678954,-0.0763005780346821
"2","2021","서울","종로구","초등학교",2021-04-01,"여자",407,417,406,-11,1,-10,-0.026378896882494,0.00246305418719212,-0.0239808153477218
"3","2021","서울","종로구","초등학교",2021-04-01,"남자",392,448,435,-13,-43,-56,-0.0290178571428571,-0.0988505747126437,-0.125
"4","2021","서울","중구","초등학교",2021-04-01,"전체",786,777,733,-44,53,9,-0.0566280566280566,0.0723055934515689,0.0115830115830116
"5","2021","서울","중구","초등학교",2021-04-01,"여자",393,378,355,-23,38,15,-0.0608465608465608,0.107042253521127,0.0396825396825397
"6","2021","서울","중구","초등학교",2021-04-01,"남자",393,399,378,-21,15,-6,-0.0526315789473684,0.0396825396825397,-0.0150375939849624
"7","2021","서울","용산구","초등학교",2021-04-01,"전체",1107,1494,1443,-51,-336,-387,-0.034136546184739,-0.232848232848233,-0.259036144578313
"8","2021","서울","용산구","초등학교",2021-04-01,"여자",550,726,707,-19,-157,-176,-0.0261707988980716,-0.222065063649222,-0.242424242424242
"9","2021","서울","용산구","초등학교",2021-04-01,"남자",557,768,736,-32,-179,-211,-0.0416666666666667,-0.24320652173913,-0.274739583333333
"10","2021","서울","성동구","초등학교",2021-04-01,"전체",1866,2477,2333,-144,-467,-611,-0.0581348405329027,-0.200171453064724,-0.246669358094469
"11","2021","서울","성동구","초등학교",2021-04-01,"여자",913,1212,1152,-60,-239,-299,-0.0495049504950495,-0.207465277777778,-0.246699669966997
"12","2021","서울","성동구","초등학교",2021-04-01,"남자",953,1265,1181,-84,-228,-312,-0.066403162055336,-0.193056731583404,-0.246640316205534
"13","2021","서울","광진구","초등학교",2021-04-01,"전체",2146,2355,2233,-122,-87,-209,-0.0518046709129512,-0.038961038961039,-0.0887473460721868
"14","2021","서울","광진구","초등학교",2021-04-01,"여자",1028,1146,1095,-51,-67,-118,-0.0445026178010471,-0.0611872146118721,-0.102966841186736
"15","2021","서울","광진구","초등학교",2021-04-01,"남자",1118,1209,1138,-71,-20,-91,-0.0587262200165426,-0.0175746924428823,-0.0752688172043011
"16","2021","서울","동대문구","초등학교",2021-04-01,"전체",2147,2368,2321,-47,-174,-221,-0.019847972972973,-0.0749676863420939,-0.0933277027027027
"17","2021","서울","동대문구","초등학교",2021-04-01,"여자",1052,1158,1147,-11,-95,-106,-0.00949913644214162,-0.0828247602441151,-0.0915371329879102
"18","2021","서울","동대문구","초등학교",2021-04-01,"남자",1095,1210,1174,-36,-79,-115,-0.0297520661157025,-0.0672913117546848,-0.0950413223140496
"19","2021","서울","중랑구","초등학교",2021-04-01,"전체",2185,2636,2467,-169,-282,-451,-0.0641122913505311,-0.11430887717876,-0.171092564491654
"20","2021","서울","중랑구","초등학교",2021-04-01,"여자",1071,1276,1180,-96,-109,-205,-0.0752351097178683,-0.0923728813559322,-0.160658307210031
"21","2021","서울","중랑구","초등학교",2021-04-01,"남자",1114,1360,1287,-73,-173,-246,-0.0536764705882353,-0.134421134421134,-0.180882352941176
"22","2021","서울","성북구","초등학교",2021-04-01,"전체",3134,3176,3198,22,-64,-42,0.00692695214105793,-0.0200125078173859,-0.0132241813602015
"23","2021","서울","성북구","초등학교",2021-04-01,"여자",1533,1527,1556,29,-23,6,0.0189914865749836,-0.0147814910025707,0.00392927308447937
"24","2021","서울","성북구","초등학교",2021-04-01,"남자",1601,1649,1642,-7,-41,-48,-0.00424499696785931,-0.0249695493300853,-0.0291085506367495
"25","2021","서울","강북구","초등학교",2021-04-01,"전체",1389,1877,1778,-99,-389,-488,-0.0527437400106553,-0.218785151856018,-0.259989344698988
"26","2021","서울","강북구","초등학교",2021-04-01,"여자",682,872,815,-57,-133,-190,-0.0653669724770642,-0.16319018404908,-0.217889908256881
"27","2021","서울","강북구","초등학교",2021-04-01,"남자",707,1005,963,-42,-256,-298,-0.0417910447761194,-0.265835929387331,-0.296517412935323
"28","2021","서울","도봉구","초등학교",2021-04-01,"전체",2248,2297,2200,-97,48,-49,-0.0422289943404441,0.0218181818181818,-0.021332172398781
"29","2021","서울","도봉구","초등학교",2021-04-01,"여자",1109,1097,1050,-47,59,12,-0.0428441203281677,0.0561904761904762,0.0109389243391067
"30","2021","서울","도봉구","초등학교",2021-04-01,"남자",1139,1200,1150,-50,-11,-61,-0.0416666666666667,-0.00956521739130435,-0.0508333333333333
"31","2021","서울","노원구","초등학교",2021-04-01,"전체",3743,3806,3770,-36,-27,-63,-0.00945874934314241,-0.00716180371352785,-0.0165528113504992
"32","2021","서울","노원구","초등학교",2021-04-01,"여자",1823,1881,1878,-3,-55,-58,-0.00159489633173844,-0.0292864749733759,-0.0308346624136098
"33","2021","서울","노원구","초등학교",2021-04-01,"남자",1920,1925,1892,-33,28,-5,-0.0171428571428571,0.0147991543340381,-0.0025974025974026
"34","2021","서울","은평구","초등학교",2021-04-01,"전체",3041,3549,3398,-151,-357,-508,-0.0425471963933502,-0.105061801059447,-0.143138912369682
"35","2021","서울","은평구","초등학교",2021-04-01,"여자",1458,1738,1640,-98,-182,-280,-0.0563866513233602,-0.110975609756098,-0.161104718066743
"36","2021","서울","은평구","초등학교",2021-04-01,"남자",1583,1811,1758,-53,-175,-228,-0.0292655991165102,-0.0995449374288965,-0.125897294312535
"37","2021","서울","서대문구","초등학교",2021-04-01,"전체",2203,2248,2254,6,-51,-45,0.00266903914590747,-0.0226264418811003,-0.0200177935943061
"38","2021","서울","서대문구","초등학교",2021-04-01,"여자",1117,1114,1127,13,-10,3,0.0116696588868941,-0.00887311446317657,0.00269299820466786
"39","2021","서울","서대문구","초등학교",2021-04-01,"남자",1086,1134,1127,-7,-41,-48,-0.00617283950617284,-0.036379769299024,-0.0423280423280423
"40","2021","서울","마포구","초등학교",2021-04-01,"전체",2272,2779,2707,-72,-435,-507,-0.025908600215905,-0.160694495751755,-0.182439726520331
"41","2021","서울","마포구","초등학교",2021-04-01,"여자",1141,1358,1318,-40,-177,-217,-0.0294550810014728,-0.134294385432473,-0.15979381443299
"42","2021","서울","마포구","초등학교",2021-04-01,"남자",1131,1421,1389,-32,-258,-290,-0.0225193525686137,-0.185745140388769,-0.204081632653061
"43","2021","서울","양천구","초등학교",2021-04-01,"전체",3397,3370,3443,73,-46,27,0.0216617210682493,-0.0133604414754575,0.00801186943620178
"44","2021","서울","양천구","초등학교",2021-04-01,"여자",1668,1630,1676,46,-8,38,0.0282208588957055,-0.00477326968973747,0.0233128834355828
"45","2021","서울","양천구","초등학교",2021-04-01,"남자",1729,1740,1767,27,-38,-11,0.0155172413793103,-0.021505376344086,-0.00632183908045977
"46","2021","서울","강서구","초등학교",2021-04-01,"전체",4031,4738,4437,-301,-406,-707,-0.0635289151540735,-0.0915032679738562,-0.149219079780498
"47","2021","서울","강서구","초등학교",2021-04-01,"여자",2039,2402,2239,-163,-200,-363,-0.0678601165695254,-0.0893255917820455,-0.151124063280599
"48","2021","서울","강서구","초등학교",2021-04-01,"남자",1992,2336,2198,-138,-206,-344,-0.0590753424657534,-0.0937215650591447,-0.147260273972603
"49","2021","서울","구로구","초등학교",2021-04-01,"전체",2777,3166,3143,-23,-366,-389,-0.00726468730259002,-0.116449252306713,-0.122867972204675
"50","2021","서울","구로구","초등학교",2021-04-01,"여자",1370,1563,1546,-17,-176,-193,-0.0108765195137556,-0.113842173350582,-0.123480486244402
"51","2021","서울","구로구","초등학교",2021-04-01,"남자",1407,1603,1597,-6,-190,-196,-0.00374298190892077,-0.118973074514715,-0.122270742358079
"52","2021","서울","금천구","초등학교",2021-04-01,"전체",1308,1516,1409,-107,-101,-208,-0.0705804749340369,-0.0716820440028389,-0.137203166226913
"53","2021","서울","금천구","초등학교",2021-04-01,"여자",637,772,711,-61,-74,-135,-0.0790155440414508,-0.10407876230661,-0.174870466321244
"54","2021","서울","금천구","초등학교",2021-04-01,"남자",671,744,698,-46,-27,-73,-0.0618279569892473,-0.0386819484240688,-0.0981182795698925
"55","2021","서울","영등포구","초등학교",2021-04-01,"전체",2427,2806,2691,-115,-264,-379,-0.040983606557377,-0.0981047937569677,-0.135067712045617
"56","2021","서울","영등포구","초등학교",2021-04-01,"여자",1137,1352,1305,-47,-168,-215,-0.0347633136094675,-0.128735632183908,-0.159023668639053
"57","2021","서울","영등포구","초등학교",2021-04-01,"남자",1290,1454,1386,-68,-96,-164,-0.046767537826685,-0.0692640692640693,-0.112792297111417
"58","2021","서울","동작구","초등학교",2021-04-01,"전체",2523,3003,2871,-132,-348,-480,-0.043956043956044,-0.121212121212121,-0.15984015984016
"59","2021","서울","동작구","초등학교",2021-04-01,"여자",1217,1466,1394,-72,-177,-249,-0.0491132332878581,-0.126972740315638,-0.169849931787176
"60","2021","서울","동작구","초등학교",2021-04-01,"남자",1306,1537,1477,-60,-171,-231,-0.0390370852309694,-0.115775220040623,-0.150292778139232
"61","2021","서울","관악구","초등학교",2021-04-01,"전체",2158,2801,2608,-193,-450,-643,-0.0689039628704034,-0.172546012269939,-0.229560871117458
"62","2021","서울","관악구","초등학교",2021-04-01,"여자",1038,1346,1252,-94,-214,-308,-0.0698365527488856,-0.170926517571885,-0.228826151560178
"63","2021","서울","관악구","초등학교",2021-04-01,"남자",1120,1455,1356,-99,-236,-335,-0.0680412371134021,-0.174041297935103,-0.230240549828179
"64","2021","서울","서초구","초등학교",2021-04-01,"전체",3399,3623,3723,100,-324,-224,0.0276014352746343,-0.0870265914585012,-0.0618272150151808
"65","2021","서울","서초구","초등학교",2021-04-01,"여자",1643,1727,1782,55,-139,-84,0.0318471337579618,-0.0780022446689113,-0.0486392588303416
"66","2021","서울","서초구","초등학교",2021-04-01,"남자",1756,1896,1941,45,-185,-140,0.0237341772151899,-0.095311695002576,-0.0738396624472574
"67","2021","서울","강남구","초등학교",2021-04-01,"전체",3604,3784,3945,161,-341,-180,0.0425475687103594,-0.0864385297845374,-0.047568710359408
"68","2021","서울","강남구","초등학교",2021-04-01,"여자",1721,1842,1906,64,-185,-121,0.0347448425624321,-0.0970619097586569,-0.0656894679695983
"69","2021","서울","강남구","초등학교",2021-04-01,"남자",1883,1942,2039,97,-156,-59,0.0499485066941298,-0.0765080922020598,-0.0303810504634398
"70","2021","서울","송파구","초등학교",2021-04-01,"전체",4988,5682,5576,-106,-588,-694,-0.0186554030271031,-0.10545193687231,-0.122140091517071
"71","2021","서울","송파구","초등학교",2021-04-01,"여자",2426,2742,2698,-44,-272,-316,-0.0160466812545587,-0.100815418828762,-0.115244347191831
"72","2021","서울","송파구","초등학교",2021-04-01,"남자",2562,2940,2878,-62,-316,-378,-0.0210884353741497,-0.109798471160528,-0.128571428571429
"73","2021","서울","강동구","초등학교",2021-04-01,"전체",3752,3280,3831,551,-79,472,0.167987804878049,-0.020621247716001,0.14390243902439
"74","2021","서울","강동구","초등학교",2021-04-01,"여자",1827,1603,1858,255,-31,224,0.159076731129133,-0.0166846071044133,0.139737991266376
"75","2021","서울","강동구","초등학교",2021-04-01,"남자",1925,1677,1973,296,-48,248,0.176505664877758,-0.0243284338570705,0.147883124627311
"76","2021","부산","중구","초등학교",2021-04-01,"전체",217,189,175,-14,42,28,-0.0740740740740741,0.24,0.148148148148148
"77","2021","부산","중구","초등학교",2021-04-01,"여자",104,92,87,-5,17,12,-0.0543478260869565,0.195402298850575,0.130434782608696
"78","2021","부산","중구","초등학교",2021-04-01,"남자",113,97,88,-9,25,16,-0.0927835051546392,0.284090909090909,0.164948453608247
"79","2021","부산","서구","초등학교",2021-04-01,"전체",606,598,607,9,-1,8,0.0150501672240803,-0.00164744645799012,0.0133779264214047
"80","2021","부산","서구","초등학교",2021-04-01,"여자",298,284,286,2,12,14,0.00704225352112676,0.041958041958042,0.0492957746478873
"81","2021","부산","서구","초등학교",2021-04-01,"남자",308,314,321,7,-13,-6,0.0222929936305732,-0.0404984423676012,-0.0191082802547771
"82","2021","부산","동구","초등학교",2021-04-01,"전체",387,433,453,20,-66,-46,0.046189376443418,-0.145695364238411,-0.106235565819861
"83","2021","부산","동구","초등학교",2021-04-01,"여자",188,214,218,4,-30,-26,0.0186915887850467,-0.137614678899083,-0.121495327102804
"84","2021","부산","동구","초등학교",2021-04-01,"남자",199,219,235,16,-36,-20,0.0730593607305936,-0.153191489361702,-0.091324200913242
"85","2021","부산","영도구","초등학교",2021-04-01,"전체",533,583,570,-13,-37,-50,-0.0222984562607204,-0.0649122807017544,-0.0857632933104631
"86","2021","부산","영도구","초등학교",2021-04-01,"여자",258,280,271,-9,-13,-22,-0.0321428571428571,-0.0479704797047971,-0.0785714285714286
"87","2021","부산","영도구","초등학교",2021-04-01,"남자",275,303,299,-4,-24,-28,-0.0132013201320132,-0.0802675585284281,-0.0924092409240924
"88","2021","부산","부산진구","초등학교",2021-04-01,"전체",2573,2428,2389,-39,184,145,-0.0160626029654036,0.077019673503558,0.0597199341021417
"89","2021","부산","부산진구","초등학교",2021-04-01,"여자",1273,1174,1159,-15,114,99,-0.0127768313458262,0.0983606557377049,0.0843270868824531
"90","2021","부산","부산진구","초등학교",2021-04-01,"남자",1300,1254,1230,-24,70,46,-0.0191387559808612,0.0569105691056911,0.0366826156299841
