,연도,시도,행정구역,코드,학제,date.x,성별,학생수,인구수_2년전_4세,인구수_1년전_5세,4세대비5세변동치,5세대비1학년변동치,4세대비1학년변동치,4세대비5세변동률,5세대비1학년변동률,4세대비1학년변동률
1,2021,서울,종로구,1111000000,초등학교,2021-04-01,전체,799,865,841,-24,-42,-66,-0.027745665,-0.049940547,-0.076300578
2,2021,서울,종로구,1111000000,초등학교,2021-04-01,여자,407,417,406,-11,1,-10,-0.026378897,0.002463054,-0.023980815
3,2021,서울,종로구,1111000000,초등학교,2021-04-01,남자,392,448,435,-13,-43,-56,-0.029017857,-0.098850575,-0.125
4,2021,서울,중구,1114000000,초등학교,2021-04-01,전체,786,777,733,-44,53,9,-0.056628057,0.072305593,0.011583012
5,2021,서울,중구,1114000000,초등학교,2021-04-01,여자,393,378,355,-23,38,15,-0.060846561,0.107042254,0.03968254
6,2021,서울,중구,1114000000,초등학교,2021-04-01,남자,393,399,378,-21,15,-6,-0.052631579,0.03968254,-0.015037594
7,2021,서울,용산구,1117000000,초등학교,2021-04-01,전체,1107,1494,1443,-51,-336,-387,-0.034136546,-0.232848233,-0.259036145
8,2021,서울,용산구,1117000000,초등학교,2021-04-01,여자,550,726,707,-19,-157,-176,-0.026170799,-0.222065064,-0.242424242
9,2021,서울,용산구,1117000000,초등학교,2021-04-01,남자,557,768,736,-32,-179,-211,-0.041666667,-0.243206522,-0.274739583
10,2021,서울,성동구,1120000000,초등학교,2021-04-01,전체,1866,2477,2333,-144,-467,-611,-0.058134841,-0.200171453,-0.246669358
11,2021,서울,성동구,1120000000,초등학교,2021-04-01,여자,913,1212,1152,-60,-239,-299,-0.04950495,-0.207465278,-0.24669967
12,2021,서울,성동구,1120000000,초등학교,2021-04-01,남자,953,1265,1181,-84,-228,-312,-0.066403162,-0.193056732,-0.246640316
13,2021,서울,광진구,1121500000,초등학교,2021-04-01,전체,2146,2355,2233,-122,-87,-209,-0.051804671,-0.038961039,-0.088747346
14,2021,서울,광진구,1121500000,초등학교,2021-04-01,여자,1028,1146,1095,-51,-67,-118,-0.044502618,-0.061187215,-0.102966841
15,2021,서울,광진구,1121500000,초등학교,2021-04-01,남자,1118,1209,1138,-71,-20,-91,-0.05872622,-0.017574692,-0.075268817
16,2021,서울,동대문구,1123000000,초등학교,2021-04-01,전체,2147,2368,2321,-47,-174,-221,-0.019847973,-0.074967686,-0.093327703
17,2021,서울,동대문구,1123000000,초등학교,2021-04-01,여자,1052,1158,1147,-11,-95,-106,-0.009499136,-0.08282476,-0.091537133
18,2021,서울,동대문구,1123000000,초등학교,2021-04-01,남자,1095,1210,1174,-36,-79,-115,-0.029752066,-0.067291312,-0.095041322
19,2021,서울,중랑구,1126000000,초등학교,2021-04-01,전체,2185,2636,2467,-169,-282,-451,-0.064112291,-0.114308877,-0.171092564
20,2021,서울,중랑구,1126000000,초등학교,2021-04-01,여자,1071,1276,1180,-96,-109,-205,-0.07523511,-0.092372881,-0.160658307
21,2021,서울,중랑구,1126000000,초등학교,2021-04-01,남자,1114,1360,1287,-73,-173,-246,-0.053676471,-0.134421134,-0.180882353
22,2021,서울,성북구,1129000000,초등학교,2021-04-01,전체,3134,3176,3198,22,-64,-42,0.006926952,-0.020012508,-0.013224181
23,2021,서울,성북구,1129000000,초등학교,2021-04-01,여자,1533,1527,1556,29,-23,6,0.018991487,-0.014781491,0.003929273
24,2021,서울,성북구,1129000000,초등학교,2021-04-01,남자,1601,1649,1642,-7,-41,-48,-0.004244997,-0.024969549,-0.029108551
25,2021,서울,강북구,1130500000,초등학교,2021-04-01,전체,1389,1877,1778,-99,-389,-488,-0.05274374,-0.218785152,-0.259989345
26,2021,서울,강북구,1130500000,초등학교,2021-04-01,여자,682,872,815,-57,-133,-190,-0.065366972,-0.163190184,-0.217889908
27,2021,서울,강북구,1130500000,초등학교,2021-04-01,남자,707,1005,963,-42,-256,-298,-0.041791045,-0.265835929,-0.296517413
28,2021,서울,도봉구,1132000000,초등학교,2021-04-01,전체,2248,2297,2200,-97,48,-49,-0.042228994,0.021818182,-0.021332172
29,2021,서울,도봉구,1132000000,초등학교,2021-04-01,여자,1109,1097,1050,-47,59,12,-0.04284412,0.056190476,0.010938924
30,2021,서울,도봉구,1132000000,초등학교,2021-04-01,남자,1139,1200,1150,-50,-11,-61,-0.041666667,-0.009565217,-0.050833333
31,2021,서울,노원구,1135000000,초등학교,2021-04-01,전체,3743,3806,3770,-36,-27,-63,-0.009458749,-0.007161804,-0.016552811
32,2021,서울,노원구,1135000000,초등학교,2021-04-01,여자,1823,1881,1878,-3,-55,-58,-0.001594896,-0.029286475,-0.030834662
33,2021,서울,노원구,1135000000,초등학교,2021-04-01,남자,1920,1925,1892,-33,28,-5,-0.017142857,0.014799154,-0.002597403
34,2021,서울,은평구,1138000000,초등학교,2021-04-01,전체,3041,3549,3398,-151,-357,-508,-0.042547196,-0.105061801,-0.143138912
35,2021,서울,은평구,1138000000,초등학교,2021-04-01,여자,1458,1738,1640,-98,-182,-280,-0.056386651,-0.11097561,-0.161104718
36,2021,서울,은평구,1138000000,초등학교,2021-04-01,남자,1583,1811,1758,-53,-175,-228,-0.029265599,-0.099544937,-0.125897294
37,2021,서울,서대문구,1141000000,초등학교,2021-04-01,전체,2203,2248,2254,6,-51,-45,0.002669039,-0.022626442,-0.020017794
38,2021,서울,서대문구,1141000000,초등학교,2021-04-01,여자,1117,1114,1127,13,-10,3,0.011669659,-0.008873114,0.002692998
39,2021,서울,서대문구,1141000000,초등학교,2021-04-01,남자,1086,1134,1127,-7,-41,-48,-0.00617284,-0.036379769,-0.042328042
40,2021,서울,마포구,1144000000,초등학교,2021-04-01,전체,2272,2779,2707,-72,-435,-507,-0.0259086,-0.160694496,-0.182439727
41,2021,서울,마포구,1144000000,초등학교,2021-04-01,여자,1141,1358,1318,-40,-177,-217,-0.029455081,-0.134294385,-0.159793814
42,2021,서울,마포구,1144000000,초등학교,2021-04-01,남자,1131,1421,1389,-32,-258,-290,-0.022519353,-0.18574514,-0.204081633
43,2021,서울,양천구,1147000000,초등학교,2021-04-01,전체,3397,3370,3443,73,-46,27,0.021661721,-0.013360441,0.008011869
44,2021,서울,양천구,1147000000,초등학교,2021-04-01,여자,1668,1630,1676,46,-8,38,0.028220859,-0.00477327,0.023312883
45,2021,서울,양천구,1147000000,초등학교,2021-04-01,남자,1729,1740,1767,27,-38,-11,0.015517241,-0.021505376,-0.006321839
46,2021,서울,강서구,1150000000,초등학교,2021-04-01,전체,4031,4738,4437,-301,-406,-707,-0.063528915,-0.091503268,-0.14921908
47,2021,서울,강서구,1150000000,초등학교,2021-04-01,여자,2039,2402,2239,-163,-200,-363,-0.067860117,-0.089325592,-0.151124063
48,2021,서울,강서구,1150000000,초등학교,2021-04-01,남자,1992,2336,2198,-138,-206,-344,-0.059075342,-0.093721565,-0.147260274
49,2021,서울,구로구,1153000000,초등학교,2021-04-01,전체,2777,3166,3143,-23,-366,-389,-0.007264687,-0.116449252,-0.122867972
50,2021,서울,구로구,1153000000,초등학교,2021-04-01,여자,1370,1563,1546,-17,-176,-193,-0.01087652,-0.113842173,-0.123480486
51,2021,서울,구로구,1153000000,초등학교,2021-04-01,남자,1407,1603,1597,-6,-190,-196,-0.003742982,-0.118973075,-0.122270742
52,2021,서울,금천구,1154500000,초등학교,2021-04-01,전체,1308,1516,1409,-107,-101,-208,-0.070580475,-0.071682044,-0.137203166
53,2021,서울,금천구,1154500000,초등학교,2021-04-01,여자,637,772,711,-61,-74,-135,-0.079015544,-0.104078762,-0.174870466
54,2021,서울,금천구,1154500000,초등학교,2021-04-01,남자,671,744,698,-46,-27,-73,-0.061827957,-0.038681948,-0.09811828
55,2021,서울,영등포구,1156000000,초등학교,2021-04-01,전체,2427,2806,2691,-115,-264,-379,-0.040983607,-0.098104794,-0.135067712
