"","prov","distinct","adm.year","adm.total","adm.male","adm.female","pop.age","pop.year","pop.total","pop.male","pop.female","adm.per.pop.total","adm.per.pop.male","adm.per.pop.female"
"1","강원","강릉시",2010,2054,1059,995,"4",2008,2018,1050,968,1.04024057274701,1.02895540075347,1.05248369348194
"2","강원","강릉시",2011,1935,989,946,"4",2009,1763,912,851,1.12171665532044,1.10634695085612,1.13822790529006
"3","강원","강릉시",2012,1735,919,816,"4",2010,1729,957,772,1.02555509641051,0.979700802058943,1.08228218772237
"4","강원","강릉시",2013,1704,923,781,"4",2011,1903,1016,887,0.915135311581799,0.9268253056295,0.901560895958818
"5","강원","강릉시",2014,1839,999,840,"4",2012,1639,844,795,1.14671973553666,1.20757171392617,1.08188178735695
"6","강원","강릉시",2015,1627,850,777,"4",2013,1662,819,843,1.00048606667283,1.05882677252421,0.943758979095635
"7","강원","강릉시",2016,1659,820,839,"4",2014,1652,868,784,1.02633905270704,0.963793553661984,1.09575522591112
"8","강원","강릉시",2017,1625,869,756,"4",2015,1650,873,777,1.00652353078417,1.01553623219457,0.996250217315188
"9","강원","강릉시",2018,1662,875,787,"4",2016,1627,823,804,1.04399394013311,1.08467119699831,1.00227370363464
"10","강원","강릉시",2019,1627,824,803,"4",2017,1447,778,669,1.14914156379422,1.08053168062695,1.22901470713551
"11","강원","강릉시",2020,1451,770,681,"4",2018,1373,693,680,1.08006871476359,1.13356748587886,1.02542960480763
"12","강원","고성군",2010,196,99,97,"4",2008,219,111,108,0.914674281294274,0.909917684610872,0.919635295767543
"13","강원","고성군",2011,175,97,78,"4",2009,194,98,96,0.921914891400249,1.00980042364515,0.831938115501051
"14","강원","고성군",2012,183,102,81,"4",2010,195,104,91,0.95911567690818,1.00059130003538,0.911404731774609
"15","강원","고성군",2013,181,99,82,"4",2011,169,97,72,1.09457715964931,1.04124601022481,1.16613547813823
"16","강원","고성군",2014,162,91,71,"4",2012,157,89,68,1.05455654984266,1.04313682127504,1.06909694480678
"17","강원","고성군",2015,160,94,66,"4",2013,146,70,76,1.12000932403381,1.36999727579074,0.889197014138775
"18","강원","고성군",2016,144,69,75,"4",2014,153,83,70,0.961890360640798,0.848126998470813,1.09706125121018
"19","강원","고성군",2017,154,82,72,"4",2015,161,91,70,0.977573355651245,0.9193107742622,1.05317880116177
"20","강원","고성군",2018,163,90,73,"4",2016,169,94,75,0.985724182446616,0.976797514427532,0.996619198877156
"21","강원","고성군",2019,155,78,77,"4",2017,144,68,76,1.10007860255577,1.17024172806906,1.03739651649524
"22","강원","고성군",2020,150,76,74,"4",2018,143,75,68,1.0720368966932,1.03381354712152,1.11427005515073
"23","강원","동해시",2010,980,531,449,"4",2008,920,496,424,1.08866123697525,1.09220141431756,1.08429670206088
"24","강원","동해시",2011,943,507,436,"4",2009,848,464,384,1.1365023858662,1.11475612889337,1.16258018704634
"25","강원","동해시",2012,845,436,409,"4",2010,827,435,392,1.0442529497132,1.02255604933073,1.06832869463086
"26","강원","동해시",2013,845,445,400,"4",2011,877,455,422,0.984717433766039,0.997788523284583,0.970543918922116
"27","강원","동해시",2014,928,484,444,"4",2012,786,423,363,1.20664617759774,1.16733332588377,1.2524027066157
"28","강원","동해시",2015,836,452,384,"4",2013,843,425,418,1.01352207928729,1.08502412530711,0.940638163717051
"29","강원","동해시",2016,869,429,440,"4",2014,843,449,394,1.05352952978548,0.974767051888262,1.1434682415321
"30","강원","동해시",2017,810,426,384,"4",2015,827,431,396,1.00099986895585,1.00837534590709,0.99289583947911
"31","강원","동해시",2018,829,436,393,"4",2016,868,440,428,0.976088771062123,1.0109360942247,0.940191745196012
"32","강원","동해시",2019,861,439,422,"4",2017,759,394,365,1.15935352509053,1.13673226819985,1.18382426888579
"33","강원","동해시",2020,756,386,370,"4",2018,734,393,341,1.052640915783,1.00203904476926,1.11100240103005
"34","강원","삼척시",2010,522,267,255,"4",2008,573,271,302,0.931044400122866,1.00515227622395,0.864571449629212
"35","강원","삼척시",2011,547,268,279,"4",2009,491,247,244,1.13857159669027,1.10694930199993,1.17079815498004
"36","강원","삼척시",2012,473,234,239,"4",2010,488,268,220,0.990594312232666,0.890781016888391,1.11235362016644
"37","강원","삼척시",2013,464,256,208,"4",2011,537,285,252,0.883076252878796,0.916399820163124,0.845143482413766
"38","강원","삼척시",2014,500,266,234,"4",2012,478,231,247,1.06904655667453,1.174788121729,0.970033106333209
"39","강원","삼척시",2015,447,216,231,"4",2013,485,264,221,0.941933614756369,0.834717875965345,1.07025522968739
"40","강원","삼척시",2016,461,249,212,"4",2014,486,246,240,0.969436054056318,1.03265233164818,0.904466053775501
"41","강원","삼척시",2017,464,236,228,"4",2015,473,243,230,1.00256225749665,0.990821950620044,1.01502014894576
"42","강원","삼척시",2018,450,233,217,"4",2016,511,269,242,0.900007492527165,0.883676958322669,0.918146578836506
"43","강원","삼척시",2019,486,260,226,"4",2017,439,218,221,1.13142627557151,1.21676509952135,1.04708953207511
"44","강원","삼척시",2020,400,199,201,"4",2018,426,223,203,0.959632402047744,0.910412272291052,1.01383591491147
"45","강원","속초시",2010,847,429,418,"4",2008,805,423,382,1.07533069121637,1.03468181157879,1.12041927435985
"46","강원","속초시",2011,803,424,379,"4",2009,680,340,340,1.2068718118665,1.27226280179816,1.1413739213571
"47","강원","속초시",2012,677,339,338,"4",2010,688,342,346,1.00566825586982,1.0112615202972,1.00024929493768
"48","강원","속초시",2013,680,340,340,"4",2011,712,383,329,0.976075541521034,0.905670106211312,1.05815836996159
"49","강원","속초시",2014,712,399,313,"4",2012,630,320,310,1.15503183781708,1.27207526305969,1.03383277479634
"50","강원","속초시",2015,644,312,332,"4",2013,614,325,289,1.0719437773102,0.979402307799339,1.17627236346595
"51","강원","속초시",2016,597,314,283,"4",2014,708,348,360,0.861778360711816,0.920534975601629,0.804917903202726
"52","강원","속초시",2017,666,316,350,"4",2015,673,355,318,1.01137840482681,0.90813124784211,1.12696019516349
"53","강원","속초시",2018,648,342,306,"4",2016,671,314,357,0.986976919971966,1.11118494316406,0.877649000968142
"54","강원","속초시",2019,663,324,339,"4",2017,612,301,311,1.10717588386258,1.098167039476,1.11610990316045
"55","강원","속초시",2020,579,274,305,"4",2018,630,309,321,0.939274486090017,0.904652886788764,0.972887132433532
"56","강원","양구군",2010,210,106,104,"4",2008,235,115,120,0.913284198799906,0.940368157850814,0.887400656534454
"57","강원","양구군",2011,222,105,117,"4",2009,209,118,91,1.08557841538827,0.907814639114853,1.31647350145221
"58","강원","양구군",2012,192,100,92,"4",2010,212,108,104,0.925592611182654,0.94463957156572,0.905778776640197
"59","강원","양구군",2013,199,110,89,"4",2011,211,115,96,0.963884801554448,0.975853748713109,0.949262721533251
"60","강원","양구군",2014,209,115,94,"4",2012,211,106,105,1.01232122374311,1.10683240366474,0.916655623233392
"61","강원","양구군",2015,197,106,91,"4",2013,177,88,89,1.13748969554591,1.22889020628231,1.04693335883278
"62","강원","양구군",2016,166,85,81,"4",2014,215,106,109,0.789085638874515,0.818093515752199,0.760897528362288
"63","강원","양구군",2017,197,93,104,"4",2015,218,120,98,0.923558147301041,0.790663321400508,1.0866130488177
"64","강원","양구군",2018,199,110,89,"4",2016,229,114,115,0.888120930689907,0.984413869315856,0.792428011019061
"65","강원","양구군",2019,195,97,98,"4",2017,179,84,95,1.1133612239959,1.17810049425268,1.05625827134061
"66","강원","양구군",2020,166,83,83,"4",2018,186,94,92,0.912115120204412,0.900824374416502,0.923757372395816
