,prov,distinct,입학년도,총입학자,남자입학,여자입학,인구나이,인구연도,인구총합,인구남자,인구여자,(입학합계)/(인구총합*총합보정),(입학남자)/(인구남자*남자보정),(입학여자)/(인구여자*여자보정),,,
1,강원,강릉시,2009,2051,1074,977,5,2008,2065,1052,1013,1.017543419,1.043555778,0.990460074,,총합보정,0.9760963
2,강원,강릉시,2010,2054,1059,995,5,2009,2017,1036,981,1.043282413,1.044872574,1.04161189,,남자보정,0.9783018
3,강원,강릉시,2011,1935,989,946,5,2010,1767,916,851,1.121893844,1.103641298,1.14159861,,여자보정,0.9737515
4,강원,강릉시,2012,1735,919,816,5,2011,1730,947,783,1.027450059,0.991956569,1.070237716,,,
5,강원,강릉시,2013,1704,923,781,5,2012,1896,1013,883,0.920743375,0.931363858,0.90832692,,,
6,강원,강릉시,2014,1839,999,840,5,2013,1654,840,814,1.139078276,1.215663361,1.05975808,,,
7,강원,강릉시,2015,1627,850,777,5,2014,1666,827,839,1.000506469,1.050607608,0.951066563,,,
8,강원,강릉시,2016,1659,820,839,5,2015,1655,877,778,1.026965214,0.955743569,1.107475734,,,
9,강원,강릉시,2017,1625,869,756,5,2016,1660,882,778,1.002888433,1.007113266,0.997916156,,,
10,강원,강릉시,2018,1662,875,787,5,2017,1662,846,816,1.024489107,1.057218649,0.990458831,,,
11,강원,강릉시,2019,1627,824,803,5,2018,1474,792,682,1.130830243,1.06347958,1.209157923,,,
12,강원,강릉시,2020,1451,770,681,5,2019,1381,702,679,1.076418316,1.121193931,1.029980951,,,
13,강원,고성군,2009,221,117,104,5,2008,213,112,101,1.062967572,1.067812411,1.057459689,,,
14,강원,고성군,2010,196,99,97,5,2009,202,105,97,0.994058738,0.963769151,1.026956044,,,
15,강원,고성군,2011,175,97,78,5,2010,189,99,90,0.948601025,1.001529313,0.890028571,,,
16,강원,고성군,2012,183,102,81,5,2011,188,103,85,0.997242057,1.01225533,0.978628701,,,
17,강원,고성군,2013,181,99,82,5,2012,174,94,80,1.065704186,1.076550647,1.052629945,,,
18,강원,고성군,2014,162,91,71,5,2013,162,90,72,1.024489107,1.033536951,1.012692765,,,
19,강원,고성군,2015,160,94,66,5,2014,143,68,75,1.146281519,1.413012703,0.903721319,,,
20,강원,고성군,2016,144,69,75,5,2015,155,87,68,0.951783429,0.810694009,1.132672107,,,
21,강원,고성군,2017,154,82,72,5,2016,160,92,68,0.986070766,0.911072945,1.087365223,,,
22,강원,고성군,2018,163,90,73,5,2017,161,90,71,1.03721568,1.022179402,1.055884383,,,
23,강원,고성군,2019,155,78,77,5,2018,127,59,68,1.250360722,1.35135582,1.162876697,,,
24,강원,고성군,2020,150,76,74,5,2019,146,72,74,1.052557302,1.078967147,1.026956044,,,
25,강원,동해시,2009,947,505,442,5,2008,983,528,455,0.986969669,0.977652648,0.997614443,,,
26,강원,동해시,2010,980,531,449,5,2009,923,502,421,1.087756582,1.081229607,1.095257158,,,
27,강원,동해시,2011,943,507,436,5,2010,838,441,397,1.152855881,1.175158633,1.127840894,,,
28,강원,동해시,2012,845,436,409,5,2011,837,438,399,1.034281118,1.017511916,1.052694291,,,
29,강원,동해시,2013,845,445,400,5,2012,888,458,430,0.974879838,0.993165576,0.955307948,,,
30,강원,동해시,2014,928,484,444,5,2013,814,432,382,1.167967926,1.145219515,1.193634773,,,
31,강원,동해시,2015,836,452,384,5,2014,864,432,432,0.991288072,1.069502523,0.912849817,,,
32,강원,동해시,2016,869,429,440,5,2015,819,440,379,1.08703423,0.996624917,1.192244484,,,
33,강원,동해시,2017,810,426,384,5,2016,835,436,399,0.993815781,0.998734921,0.988348674,,,
34,강원,동해시,2018,829,436,393,5,2017,875,448,427,0.970630251,0.994799597,0.945184368,,,
35,강원,동해시,2019,861,439,422,5,2018,749,378,371,1.17768374,1.187134279,1.168127899,,,
36,강원,동해시,2020,756,386,370,5,2019,724,384,340,1.069770394,1.027503253,1.117569812,,,
37,강원,삼척시,2009,603,302,301,5,2008,545,284,261,1.133517306,1.086965421,1.184343943,,,
38,강원,삼척시,2010,522,267,255,5,2009,570,276,294,0.93821634,0.988847465,0.890727181,,,
39,강원,삼척시,2011,547,268,279,5,2010,478,243,235,1.17237561,1.127341892,1.219237175,,,
