,prov,distinct,입학연도,입학자총수,입학남자,입학여자,인구나이,인구연도,인구총수,인구남자,인구여자,입학연도별 입학총수,인구연도별 인구총합,보정치,인구대비입학비율,보정후 인구대비입학비율,입학자비율,초등입학이동지수,초등입학이동지수z점수,,"보정치 = (입학년도별 인구총합/인구연도별 인구총합), 연도별로 입학유예자들로 인한 입학 누락자를 보정하기 위해 산출, 연도별로 입학유예자 규모가 달라 연도별 보정치는 다 다름, 전국인구총합 * 보정치 = 전국입학자수"
1,강원,강릉시,2009,2051,1074,977,6,2008,2171,1132,1039,462768,488710,0.946917395,0.944725933,0.997685688,0.443202641,-0.001025709,-0.084676064,,"인구대비입학비율 = 입학자총수 / 인구총수, 지수산출의 가장 기본 수치"
2,강원,강릉시,2010,2054,1059,995,6,2009,2089,1080,1009,470657,487028,0.966385916,0.983245572,1.01744609,0.436411229,0.00761367,0.299054772,,"보정후 인구대비입학비율 = 입학자총수 / (인구총수 * 보정치), 전국단위의 입학유예자비율을 분모에 곱해 인구총수의 규모를 조정"
3,강원,강릉시,2011,1935,989,946,6,2010,2002,1021,981,441332,457372,0.964930079,0.966533467,1.001661662,0.438445433,0.000728548,-0.006758125,,"입학자 비율 = 해당년도 입학자수/해당년도 전국총입학자수, 전국에서 해당지역의 입학자 백분율, 인구대비 입학비율이 같더라도 입학자 규모가 크면 더 큰 지수를 갖도록 보정하기 위한 보정치"
4,강원,강릉시,2012,1735,919,816,6,2011,1786,938,848,407210,420797,0.967711272,0.971444569,1.003857863,0.426070087,0.00164372,0.033890586,,"초등입학이동지수 = (보정후 인구대비 입학비율 - 1) * 입학자 비율, 보정후 인구대비 입학비율에 입학자비율을 곱해서 입학자 규모 가중치를 반영한 지수, 보정후 인구대비 입학비율에서 1을 뺀 이유는 보정후 인구대비 입학비율의 1(인구수 = 입학자수)를 0으로 이동시켜 입학자 비율 보정에 대비함"
5,강원,강릉시,2013,1704,923,781,6,2012,1747,947,800,422944,435284,0.971650692,0.975386377,1.003844678,0.402890217,0.001548983,0.029682718,,초등입학이동지수z점수 = 초등입학지동지수의 z 표준값
6,강원,강릉시,2014,1839,999,840,6,2013,1893,1018,875,465061,480776,0.96731326,0.971473851,1.004301182,0.395431997,0.001700825,0.036427002,,join_6 %>%
7,강원,강릉시,2015,1627,850,777,6,2014,1656,855,801,441255,454993,0.969806129,0.982487923,1.013076628,0.368721034,0.004821628,0.175042084,,  group_by(adm.year) %>%
8,강원,강릉시,2016,1659,820,839,6,2015,1689,836,853,422114,435131,0.970084871,0.982238011,1.012527914,0.39302179,0.004923743,0.17957769,,"  mutate(sum.adm.total = sum(adm.total), sum.pop.total = sum(pop.total),"
9,강원,강릉시,2017,1625,869,756,6,2016,1675,889,786,445571,460063,0.968499966,0.970149254,1.00170293,0.364700575,0.000621059,-0.011532394,,         correction = sum.adm.total/sum.pop.total) %>%
10,강원,강릉시,2018,1662,875,787,6,2017,1699,892,807,447106,462352,0.967025124,0.978222484,1.011579182,0.371723931,0.004304259,0.152062388,,  ungroup() %>%
11,강원,강릉시,2019,1627,824,803,6,2018,1693,860,833,462528,478982,0.965647978,0.961015948,0.995203189,0.351762488,-0.001687338,-0.114063296,,"  mutate(adm.per.pop.total = adm.total / pop.total,"
12,강원,강릉시,2020,1451,770,681,6,2019,1494,799,695,417119,431843,0.965904275,0.971218206,1.005501509,0.347862361,0.001913768,0.045885166,,"         corr.adm.per.pop.total = adm.total / (pop.total * correction),"
13,강원,고성군,2009,221,117,104,6,2008,250,128,122,462768,488710,0.946917395,0.884,0.933555561,0.047756111,-0.003173128,-0.180056865,,"         percent.adm = adm.total / sum.adm.total * 100,"
14,강원,고성군,2010,196,99,97,6,2009,201,104,97,470657,487028,0.966385916,0.975124378,1.009042414,0.041643915,0.000376562,-0.022392133,,"         index = (corr.adm.per.pop.total-1)*percent.adm,"
15,강원,고성군,2011,175,97,78,6,2010,181,99,82,441332,457372,0.964930079,0.966850829,1.001990559,0.039652688,7.89E-05,-0.035611835,,"         zscore = scale(index, center = TRUE, scale = TRUE))"
16,강원,고성군,2012,183,102,81,6,2011,185,99,86,407210,420797,0.967711272,0.989189189,1.022194551,0.044939957,0.000997422,0.005184315,,
17,강원,고성군,2013,181,99,82,6,2012,183,101,82,422944,435284,0.971650692,0.989071038,1.017928609,0.042795264,0.00076726,-0.0050387,,
18,강원,고성군,2014,162,91,71,6,2013,161,84,77,465061,480776,0.96731326,1.00621118,1.04021233,0.03483414,0.001400762,0.023099248,,
19,강원,고성군,2015,160,94,66,6,2014,157,92,65,441255,454993,0.969806129,1.01910828,1.050837121,0.036260212,0.001843365,0.042758112,,
20,강원,고성군,2016,144,69,75,6,2015,129,61,68,422114,435131,0.970084871,1.11627907,1.150702483,0.034114007,0.005141066,0.189230389,,
21,강원,고성군,2017,154,82,72,6,2016,153,80,73,445571,460063,0.968499966,1.006535948,1.039273085,0.034562393,0.001357372,0.021172011,,
22,강원,고성군,2018,163,90,73,6,2017,156,84,72,447106,462352,0.967025124,1.044871795,1.080501188,0.036456679,0.002934806,0.091236093,,
23,강원,고성군,2019,155,78,77,6,2018,144,76,68,462528,478982,0.965647978,1.076388889,1.114680415,0.033511485,0.003843111,0.131579808,,
24,강원,고성군,2020,150,76,74,6,2019,126,64,62,417119,431843,0.965904275,1.19047619,1.232499142,0.035960961,0.008360893,0.332243785,,
25,강원,동해시,2009,947,505,442,6,2008,969,511,458,462768,488710,0.946917395,0.977296182,1.032081771,0.204638177,0.006565155,0.252483441,,
26,강원,동해시,2010,980,531,449,6,2009,967,516,451,470657,487028,0.966385916,1.01344364,1.048694546,0.208219574,0.010139158,0.411228074,,
27,강원,동해시,2011,943,507,436,6,2010,927,501,426,441332,457372,0.964930079,1.017259978,1.054231805,0.21367134,0.011587782,0.475570891,,
28,강원,동해시,2012,845,436,409,6,2011,855,439,416,407210,420797,0.967711272,0.988304094,1.021279924,0.207509639,0.004415789,0.157016164,,
29,강원,동해시,2013,845,445,400,6,2012,810,426,384,422944,435284,0.971650692,1.043209877,1.073647026,0.199790043,0.014713943,0.614423937,,
30,강원,동해시,2014,928,484,444,6,2013,939,487,452,465061,480776,0.96731326,0.98828541,1.021680825,0.199543716,0.004326272,0.153040142,,
31,강원,동해시,2015,836,452,384,6,2014,825,443,382,441255,454993,0.969806129,1.013333333,1.044882377,0.18945961,0.008503398,0.338573362,,
32,강원,동해시,2016,869,429,440,6,2015,872,430,442,422114,435131,0.970084871,0.996559633,1.027291181,0.205868557,0.005618396,0.210431733,,
33,강원,동해시,2017,810,426,384,6,2016,815,438,377,445571,460063,0.968499966,0.993865031,1.026190052,0.18178921,0.004761069,0.17235227,,
34,강원,동해시,2018,829,436,393,6,2017,838,440,398,447106,462352,0.967025124,0.989260143,1.022993218,0.185414644,0.004263279,0.15024221,,
35,강원,동해시,2019,861,439,422,6,2018,887,446,441,462528,478982,0.965647978,0.970687711,1.005219017,0.186150892,0.000971525,0.004034036,,
36,강원,동해시,2020,756,386,370,6,2019,766,393,373,417119,431843,0.965904275,0.98694517,1.021783623,0.181243242,0.003948134,0.13624458,,
37,강원,삼척시,2009,603,302,301,6,2008,632,319,313,462768,488710,0.946917395,0.954113924,1.007599955,0.130302873,0.000990296,0.004867792,,
38,강원,삼척시,2010,522,267,255,6,2009,560,287,273,470657,487028,0.966385916,0.932142857,0.964565855,0.110908793,-0.003929958,-0.213672607,,
39,강원,삼척시,2011,547,268,279,6,2010,561,264,297,441332,457372,0.964930079,0.975044563,1.010482091,0.123942973,0.001299181,0.018587401,,
40,강원,삼척시,2012,473,234,239,6,2011,481,241,240,407210,420797,0.967711272,0.983367983,1.016179115,0.116156283,0.001879306,0.044354486,,
41,강원,삼척시,2013,464,256,208,6,2012,499,273,226,422944,435284,0.971650692,0.929859719,0.956989715,0.109707195,-0.004718538,-0.248698532,,
42,강원,삼척시,2014,500,266,234,6,2013,510,264,246,465061,480776,0.96731326,0.980392157,1.013520849,0.107512778,0.001453664,0.025448975,,
43,강원,삼척시,2015,447,216,231,6,2014,466,226,240,441255,454993,0.969806129,0.959227468,0.989091984,0.101301968,-0.001105004,-0.088198045,,
44,강원,삼척시,2016,461,249,212,6,2015,488,265,223,422114,435131,0.970084871,0.944672131,0.973803591,0.109212203,-0.002860968,-0.166191794,,
45,강원,삼척시,2017,464,236,228,6,2016,491,245,246,445571,460063,0.968499966,0.945010183,0.975746222,0.104136041,-0.002525692,-0.151300052,,
46,강원,삼척시,2018,450,233,217,6,2017,477,241,236,447106,462352,0.967025124,0.943396226,0.975565374,0.100647274,-0.002459279,-0.14835018,,
47,강원,삼척시,2019,486,260,226,6,2018,492,260,232,462528,478982,0.965647978,0.987804878,1.022945111,0.10507472,0.002410951,0.067968299,,
48,강원,삼척시,2020,400,199,201,6,2019,424,216,208,417119,431843,0.965904275,0.943396226,0.976697433,0.095895895,-0.002234621,-0.138371662,,
49,강원,속초시,2009,898,482,416,6,2008,935,499,436,462768,488710,0.946917395,0.960427807,1.014267784,0.194049718,0.002768659,0.083856448,,
50,강원,속초시,2010,847,429,418,6,2009,850,433,417,470657,487028,0.966385916,0.996470588,1.031131116,0.179961203,0.005602393,0.209720936,,
51,강원,속초시,2011,803,424,379,6,2010,828,424,404,441332,457372,0.964930079,0.969806763,1.005053925,0.18194919,0.000919558,0.001725844,,
